file	status	what_was_looked_for
.agents/skills/add-catalog-category/SKILL.md	reviewed	Confirmed byte-identical to .claude/skills by SHA; that identity is now enforced by check-doc-mirror.sh rather than assumed.
.agents/skills/run-experiment/SKILL.md	reviewed	Confirmed byte-identical to .claude/skills by SHA; that identity is now enforced by check-doc-mirror.sh rather than assumed.
.agents/skills/safety-review/SKILL.md	reviewed	Confirmed byte-identical to .claude/skills by SHA; that identity is now enforced by check-doc-mirror.sh rather than assumed.
.claude/agents/helper-security-reviewer.md	reviewed	Description judged as a trigger rather than as prose, and tool scope checked against what the agent reviews. The helper reviewer is correctly incapable of editing the helper.
.claude/agents/migration-safety-reviewer.md	reviewed	Description judged as a trigger rather than as prose, and tool scope checked against what the agent reviews. The helper reviewer is correctly incapable of editing the helper.
.claude/agents/storage-researcher.md	reviewed	Description judged as a trigger rather than as prose, and tool scope checked against what the agent reviews. The helper reviewer is correctly incapable of editing the helper.
.claude/hooks/helper-guard.sh	reviewed	helper-guard.sh re-read against its demoted header. swift-format-lint.sh given the same scrutiny: found it exits 0 on every path, was silent on a missing toolchain, truncated silently, and read a Claude-only variable. Rewritten and validated with positive and negative controls.
.claude/hooks/swift-format-lint.sh	reviewed	helper-guard.sh re-read against its demoted header. swift-format-lint.sh given the same scrutiny: found it exits 0 on every path, was silent on a missing toolchain, truncated silently, and read a Claude-only variable. Rewritten and validated with positive and negative controls.
.claude/settings.json	reviewed	Checked that it wires helper-guard.sh as PreToolUse and swift-format-lint.sh as PostToolUse on Edit|Write, matching what CONTRIBUTING and the hook headers claim.
.claude/skills/add-catalog-category/SKILL.md	reviewed	Description checked as a trigger and every path, script and filename in the procedure resolved against the current tree.
.claude/skills/run-experiment/SKILL.md	reviewed	Description checked as a trigger and every path, script and filename in the procedure resolved against the current tree.
.claude/skills/safety-review/SKILL.md	reviewed	Description checked as a trigger and every path, script and filename in the procedure resolved against the current tree.
.codex/agents/helper-security-reviewer.toml	reviewed	Compared against the Claude definitions: same prose, no tools key, so independence is a convention rather than a constraint under Codex. Left in place per the third-party-tooling rule; the asymmetry is now documented in CONTRIBUTING.
.codex/agents/migration-safety-reviewer.toml	reviewed	Compared against the Claude definitions: same prose, no tools key, so independence is a convention rather than a constraint under Codex. Left in place per the third-party-tooling rule; the asymmetry is now documented in CONTRIBUTING.
